iter	Passed	Remaining
138	5787	35848
139	5829	35812
140	5866	35741
141	5907	35693
142	5948	35652
143	5984	35572
144	6021	35504
145	6061	35453
146	6098	35387
147	6141	35357
148	6182	35307
149	6213	35210
150	6251	35148
151	6290	35092
152	6325	35016
153	6361	34948
154	6404	34914
155	6444	34866
156	6482	34805
157	6520	34748
158	6559	34694
159	6594	34621
160	6635	34580
161	6667	34490
162	6705	34434
163	6743	34376
164	6778	34304
165	6814	34237
166	6850	34168
167	6884	34093
168	6925	34052
169	6957	33969
170	7001	33942
171	7038	33882
172	7080	33846
173	7119	33796
174	7158	33747
175	7199	33707
176	7236	33646
177	7276	33601
178	7315	33554
179	7352	33494
180	7388	33431
181	7428	33387
182	7465	33328
183	7502	33270
184	7539	33216
185	7575	33153
186	7612	33096
187	7644	33016
188	7681	32963
189	7723	32928
190	7766	32896
191	7815	32892
192	7858	32859
193	7897	32811
194	7940	32779
195	7975	32715
196	8015	32670
197	8047	32597
198	8087	32552
199	8127	32508
200	8159	32433
201	8194	32373
202	8236	32336
203	8273	32283
204	8312	32236
205	8347	32175
206	8387	32130
207	8429	32097
208	8476	32080
209	8519	32048
210	8557	32000
211	8594	31945
212	8631	31891
213	8671	31848
214	8708	31796
215	8747	31750
216	8786	31703
217	8820	31641
218	8859	31594
219	8897	31545
220	8938	31507
221	8974	31451
222	9014	31409
223	9052	31360
224	9087	31302
225	9125	31254
226	9159	31191
227	9197	31143
228	9237	31100
229	9269	31032
230	9304	30976
231	9338	30913
232	9381	30883
233	9424	30850
234	9462	30804
235	9501	30760
236	9538	30709
237	9576	30662
238	9612	30608
239	9653	30570
240	9691	30521
241	9724	30459
242	9760	30406
243	9800	30367
244	9841	30327
245	9877	30276
246	9917	30234
247	9953	30181
248	9992	30138
249	10031	30095
250	10071	30053
251	10105	29996
252	10141	29943
253	10179	29896
254	10220	29859
255	10257	29812
256	10293	29758
257	10326	29697
258	10367	29660
259	10404	29612
260	10445	29575
261	10477	29513
262	10513	29462
263	10553	29422
264	10587	29365
265	10624	29317
266	10665	29280
267	10704	29237
268	10739	29185
269	10776	29137
270	10818	29100
271	10854	29050
272	10894	29012
273	10926	28950
274	10966	28911
275	11005	28870
276	11044	28828
277	11077	28770
278	11116	28726
279	11155	28686
280	11191	28635
281	11225	28582
282	11265	28541
283	11302	28494
284	11339	28449
285	11375	28399
286	11414	28357
287	11450	28307
288	11490	28268
289	11526	28220
290	11563	28174
291	11597	28120
292	11633	28070
293	11675	28037
294	11717	28003
295	11757	27964
296	11797	27925
297	11835	27880
298	11874	27840
299	11911	27793
300	11946	27743
301	11986	27704
302	12022	27656
303	12059	27610
304	12095	27562
305	12132	27517
306	12171	27474
307	12210	27432
308	12249	27393
309	12284	27342
310	12321	27297
311	12358	27252
312	12398	27213
313	12436	27170
314	12478	27135
315	12518	27096
316	12557	27057
317	12593	27009
318	12630	26963
319	12667	26919
320	12706	26877
321	12745	26836
322	12784	26795
323	12823	26755
324	12859	26708
325	12896	26663
326	12938	26629
327	12973	26580
328	13016	26546
329	13052	26500
330	13084	26445
331	13117	26393
332	13152	26344
333	13189	26299
334	13226	26255
335	13262	26210
336	13301	26168
337	13337	26122
338	13376	26083
339	13414	26040
340	13453	25999
341	13488	25952
342	13522	25902
343	13561	25861
344	13598	25817
345	13636	25775
346	13678	25740
347	13721	25707
348	13761	25669
349	13802	25633
350	13838	25587
351	13876	25545
352	13910	25495
353	13951	25458
354	13985	25410
355	14023	25368
356	14063	25329
357	14097	25281
358	14133	25235
359	14173	25197
360	14207	25148
361	14248	25112
362	14286	25070
363	14323	25026
364	14360	24983
365	14396	24937
366	14428	24887
367	14463	24838
368	14498	24793
369	14540	24757
370	14579	24718
371	14615	24672
372	14650	24626
373	14687	24584
374	14725	24543
375	14763	24500
376	14800	24457
377	14837	24415
378	14875	24373
379	14910	24327
380	14949	24287
381	14983	24239
382	15019	24196
383	15056	24153
384	15095	24112
385	15133	24073
386	15171	24031
387	15208	23988
388	15243	23943
389	15280	23899
390	15316	23856
391	15352	23812
392	15386	23764
393	15423	23722
394	15465	23688
395	15504	23648
396	15541	23606
397	15579	23564
398	15615	23520
399	15650	23475
